Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-11-16,0.01,0.01,0.01,0.01,0,0,0
2015-11-17,0.01,0.01,0.01,0.01,0,0,0
2015-11-18,0.01,0.01,0.01,0.01,0,0,0
2015-11-19,0.01,0.01,0.01,0.01,0,0,0
2015-11-20,0.01,0.01,0.01,0.01,0,0,0
2015-11-23,0.01,0.01,0.01,0.01,0,0,0
2015-11-24,0.01,0.01,0.01,0.01,0,0,0
2015-11-25,0.01,0.01,0.01,0.01,0,0,0
2015-11-27,0.01,0.01,0.01,0.01,0,0,0
2015-11-30,0.01,0.01,0.01,0.01,0,0,0
2015-12-01,0.01,0.01,0.01,0.01,0,0,0
2015-12-02,0.01,0.01,0.01,0.01,0,0,0
2015-12-03,0.0399,0.0399,0.0399,0.0399,10000,0,0
2015-12-04,0.0303,0.0303,0.0303,0.0303,10000,0,0
2015-12-07,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-08,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-09,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-10,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-11,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-14,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-15,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-16,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-17,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-18,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-21,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-22,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-23,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-24,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-28,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-29,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-30,0.0303,0.0303,0.0303,0.0303,0,0,0
2015-12-31,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-04,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-05,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-06,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-07,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-08,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-11,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-12,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-13,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-14,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-15,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-19,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-20,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-21,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-22,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-25,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-26,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-27,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-28,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-01-29,0.0303,0.0303,0.0303,0.0303,0,0,0
2016-02-01,0.06,0.06,0.06,0.06,2000,0,0
2016-02-02,0.06,0.06,0.06,0.06,0,0,0
2016-02-03,0.06,0.06,0.06,0.06,0,0,0
2016-02-04,0.06,0.06,0.06,0.06,0,0,0
